Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL,part_id,memory_type,capacity_gb_total_est,speed_mhz_est,module_count_est,market_status,inference_confidence,price_krw_estimate,price_basis,price_currency,price_reference_date,data_warning,compatible_motherboard_ids
RAM,F5-6400J3239G16GA2-TZ5K,G.SKILL,TZ/RJ/FX DDR5 6400 C32 2x16GB,8,187,18403,https://ram.userbenchmark.com/SpeedTest/1770998/G-Skill-Intl-F5-6400J3239G16G-2x16GB,RAM_0021,DDR5,32,6400,2,current_or_recent,medium,700000,capacity/speed price-per-GB heuristic,KRW,2026-05,Estimated Korean market representative price; verify live prices before checkout.,MB_AM5_B650M_001|MB_AM5_B650_002|MB_AM5_X670E_003|MB_AM5_B850_004|MB_AM5_X870E_005|MB_LGA1700_B760_D5_011|MB_LGA1700_Z790_D5_012|MB_LGA1851_B860_014|MB_LGA1851_Z890_015|MB_sTR5_TRX50_019
RAM,CMH32GX5M2B6400C36,Corsair,Vengeance RGB DDR5 6400 C36 2x16GB,9,185,6291,https://ram.userbenchmark.com/SpeedTest/2067774/Corsair-CMH32GX5M2B6400C36-2x16GB,RAM_0022,DDR5,32,6400,2,current_or_recent,medium,700000,capacity/speed price-per-GB heuristic,KRW,2026-05,Estimated Korean market representative price; verify live prices before checkout.,MB_AM5_B650M_001|MB_AM5_B650_002|MB_AM5_X670E_003|MB_AM5_B850_004|MB_AM5_X870E_005|MB_LGA1700_B760_D5_011|MB_LGA1700_Z790_D5_012|MB_LGA1851_B860_014|MB_LGA1851_Z890_015|MB_sTR5_TRX50_019
RAM,F5-5600J3636D32GX2-RS5K,G.SKILL,TZ/RJ/FX DDR5 5600 C30 2x32GB,10,180,1573,https://ram.userbenchmark.com/SpeedTest/1845681/G-Skill-Intl-F5-5600J3636D32G-2x315GB,RAM_0023,DDR5,64,5600,2,current_or_recent,medium,1220000,capacity/speed price-per-GB heuristic,KRW,2026-05,Estimated Korean market representative price; verify live prices before checkout.,MB_AM5_B650M_001|MB_AM5_B650_002|MB_AM5_X670E_003|MB_AM5_B850_004|MB_AM5_X870E_005|MB_LGA1700_B760_D5_011|MB_LGA1700_Z790_D5_012|MB_LGA1851_B860_014|MB_LGA1851_Z890_015|MB_sTR5_TRX50_019
RAM,F5-5600J3636D32GX2-RS5W,G.SKILL,TZ/RJ/FX DDR5 5600 C30 2x32GB,10,180,1573,https://ram.userbenchmark.com/SpeedTest/1845681/G-Skill-Intl-F5-5600J3636D32G-2x315GB,RAM_0024,DDR5,64,5600,2,current_or_recent,medium,1220000,capacity/speed price-per-GB heuristic,KRW,2026-05,Estimated Korean market representative price; verify live prices before checkout.,MB_AM5_B650M_001|MB_AM5_B650_002|MB_AM5_X670E_003|MB_AM5_B850_004|MB_AM5_X870E_005|MB_LGA1700_B760_D5_011|MB_LGA1700_Z790_D5_012|MB_LGA1851_B860_014|MB_LGA1851_Z890_015|MB_sTR5_TRX50_019
RAM,F5-5600J3636D32GA2-TZ5RK,G.SKILL,TZ/RJ/FX DDR5 5600 C30 2x32GB,10,180,1573,https://ram.userbenchmark.com/SpeedTest/1845681/G-Skill-Intl-F5-5600J3636D32G-2x315GB,RAM_0025,DDR5,64,5600,2,current_or_recent,medium,1220000,capacity/speed price-per-GB heuristic,KRW,2026-05,Estimated Korean market representative price; verify live prices before checkout.,MB_AM5_B650M_001|MB_AM5_B650_002|MB_AM5_X670E_003|MB_AM5_B850_004|MB_AM5_X870E_005|MB_LGA1700_B760_D5_011|MB_LGA1700_Z790_D5_012|MB_LGA1851_B860_014|MB_LGA1851_Z890_015|MB_sTR5_TRX50_019
RAM,F5-5600J3636D32GA2-TZ5RK,G.SKILL,TZ/RJ/FX DDR5 5600 C30 2x32GB,10,180,1573,https://ram.userbenchmark.com/SpeedTest/1845681/G-Skill-Intl-F5-5600J3636D32G-2x315GB,RAM_0026,DDR5,64,5600,2,current_or_recent,medium,1220000,capacity/speed price-per-GB heuristic,KRW,2026-05,Estimated Korean market representative price; verify live prices before checkout.,MB_AM5_B650M_001|MB_AM5_B650_002|MB_AM5_X670E_003|MB_AM5_B850_004|MB_AM5_X870E_005|MB_LGA1700_B760_D5_011|MB_LGA1700_Z790_D5_012|MB_LGA1851_B860_014|MB_LGA1851_Z890_015|MB_sTR5_TRX50_019
RAM,CMH32GX5M2E6000C36,Corsair,Vengeance RGB DDR5 6000 C36 2x16GB,11,178,24598,https://ram.userbenchmark.com/SpeedTest/2095554/Corsair-CMH32GX5M2E6000C36-2x16GB,RAM_0027,DDR5,32,6000,2,current_or_recent,medium,700000,capacity/speed price-per-GB heuristic,KRW,2026-05,Estimated Korean market representative price; verify live prices before checkout.,MB_AM5_B650M_001|MB_AM5_B650_002|MB_AM5_X670E_003|MB_AM5_B850_004|MB_AM5_X870E_005|MB_LGA1700_B760_D5_011|MB_LGA1700_Z790_D5_012|MB_LGA1851_B860_014|MB_LGA1851_Z890_015|MB_sTR5_TRX50_019
RAM,F5-6000J3636F16GX2-RS5K,G.SKILL,TZ/RJ/FX DDR5 6400 C36 2x16GB,12,173,39467,https://ram.userbenchmark.com/SpeedTest/1769364/G-Skill-Intl-F5-6000J3636F16G-2x16GB,RAM_0028,DDR5,32,6400,2,current_or_recent,medium,700000,capacity/speed price-per-GB heuristic,KRW,2026-05,Estimated Korean market representative price; verify live prices before checkout.,MB_AM5_B650M_001|MB_AM5_B650_002|MB_AM5_X670E_003|MB_AM5_B850_004|MB_AM5_X870E_005|MB_LGA1700_B760_D5_011|MB_LGA1700_Z790_D5_012|MB_LGA1851_B860_014|MB_LGA1851_Z890_015|MB_sTR5_TRX50_019
RAM,F5-6000J3636F16GX2-TZ5S,G.SKILL,TZ/RJ/FX DDR5 6400 C36 2x16GB,12,173,39467,https://ram.userbenchmark.com/SpeedTest/1769364/G-Skill-Intl-F5-6000J3636F16G-2x16GB,RAM_0029,DDR5,32,6400,2,current_or_recent,medium,700000,capacity/speed price-per-GB heuristic,KRW,2026-05,Estimated Korean market representative price; verify live prices before checkout.,MB_AM5_B650M_001|MB_AM5_B650_002|MB_AM5_X670E_003|MB_AM5_B850_004|MB_AM5_X870E_005|MB_LGA1700_B760_D5_011|MB_LGA1700_Z790_D5_012|MB_LGA1851_B860_014|MB_LGA1851_Z890_015|MB_sTR5_TRX50_019
RAM,CMK32GX5M2E6000C36,Corsair,Vengeance DDR5 6000 C36 2x16GB,13,172,5127,https://ram.userbenchmark.com/SpeedTest/2096215/Corsair-Vengeance-LPX-CMK32GX5M2E6000C36-2x16GB,RAM_0030,DDR5,32,6000,2,current_or_recent,medium,700000,capacity/speed price-per-GB heuristic,KRW,2026-05,Estimated Korean market representative price; verify live prices before checkout.,MB_AM5_B650M_001|MB_AM5_B650_002|MB_AM5_X670E_003|MB_AM5_B850_004|MB_AM5_X870E_005|MB_LGA1700_B760_D5_011|MB_LGA1700_Z790_D5_012|MB_LGA1851_B860_014|MB_LGA1851_Z890_015|MB_sTR5_TRX50_019
